Player,Season,Club,Goals,Assists,Goal_Contribution,Shot_Accuracy,Defensive_Contribution,Minutes_Per_Appearance,Discipline_Score,Age,Position,Market_Value_EUR
Nathaniel Clyne,2016-2017,Liverpool,0.0,2.0,2.0,19.230769230769237,179.0,89.83783783783784,0.0,25,DF,18900000
Philippe Coutinho,2016-2017,Liverpool,13.0,7.0,20.0,35.84905660377358,58.0,72.35483870967742,2.0,24,FW,40500000
Ragnar Klavan,2016-2017,Liverpool,0.0,0.0,0.0,50.0,140.0,70.4,3.0,31,DF,3150000
Roberto Firmino,2016-2017,Liverpool,11.0,7.0,18.0,45.0,101.0,87.65714285714286,5.0,24,FW,34500000
Sadio Mané,2016-2017,Liverpool,13.0,5.0,18.0,42.10526315789473,41.0,82.96296296296296,4.0,24,FW,36000000
Aleksandar Kolarov,2016-2017,Manchester City,1.0,1.0,2.0,31.25,258.0,87.34482758620689,6.0,30,DF,9000000
Bacary Sagna,2016-2017,Manchester City,0.0,1.0,1.0,25.0,94.0,79.11764705882354,2.0,33,DF,3600000
David Silva,2016-2017,Manchester City,4.0,7.0,11.0,35.41666666666667,85.0,81.3529411764706,6.0,30,MF,33000000
Fernandinho,2016-2017,Manchester City,2.0,1.0,3.0,30.55555555555556,212.0,86.0625,10.0,31,MF,13200000
Fernando,2016-2017,Manchester City,0.0,0.0,0.0,0.0,67.0,37.333333333333336,3.0,29,MF,2700000
Gabriel Jesus,2016-2017,Manchester City,7.0,4.0,11.0,54.16666666666666,8.0,65.0,2.0,19,FW,27000000
Gaël Clichy,2016-2017,Manchester City,1.0,0.0,1.0,50.0,185.0,85.0,2.0,31,DF,6300000
Ilkay Gündogan,2016-2017,Manchester City,3.0,1.0,4.0,25.0,23.0,70.9,0.0,25,MF,55000000
Jesús Navas,2016-2017,Manchester City,0.0,0.0,0.0,25.0,55.0,44.083333333333336,2.0,30,MF,22500000
John Stones,2016-2017,Manchester City,0.0,0.0,0.0,15.384615384615383,194.0,74.55555555555556,1.0,22,DF,31500000
Kelechi Iheanacho,2016-2017,Manchester City,4.0,3.0,7.0,31.818181818181817,8.0,26.35,0.0,19,FW,13500000
Kevin De Bruyne,2016-2017,Manchester City,6.0,18.0,24.0,24.418604651162788,83.0,80.08333333333333,4.0,25,MF,165000000
Leroy Sané,2016-2017,Manchester City,5.0,3.0,8.0,42.42424242424242,58.0,68.6923076923077,4.0,20,FW,31500000
Nicolás Otamendi,2016-2017,Manchester City,1.0,1.0,2.0,20.0,358.0,86.4,9.0,28,DF,27000000
Nolito,2016-2017,Manchester City,4.0,2.0,6.0,37.5,25.0,40.94736842105263,6.0,29,MF,4950000
Pablo Zabaleta,2016-2017,Manchester City,1.0,1.0,2.0,28.57142857142857,107.0,52.95,2.0,31,DF,6300000
Raheem Sterling,2016-2017,Manchester City,7.0,6.0,13.0,34.375,44.0,76.21212121212122,7.0,21,FW,40500000
Sergio Agüero,2016-2017,Manchester City,20.0,3.0,23.0,38.1294964028777,23.0,77.51612903225806,7.0,28,FW,58500000
Vincent Kompany,2016-2017,Manchester City,3.0,0.0,3.0,33.33333333333333,76.0,74.81818181818181,5.0,30,DF,19800000
Yaya Toure,2016-2017,Manchester City,5.0,0.0,5.0,46.875,101.0,77.88,4.0,33,MF,8800000
Ander Herrera,2016-2017,Manchester United,1.0,6.0,7.0,15.789473684210526,223.0,79.48387096774194,8.0,26,MF,33000000
Anthony Martial,2016-2017,Manchester United,4.0,6.0,10.0,42.85714285714285,36.0,62.36,2.0,20,FW,27000000
Antonio Valencia,2016-2017,Manchester United,1.0,3.0,4.0,44.44444444444444,175.0,88.67857142857143,5.0,30,DF,9000000
Ashley Young,2016-2017,Manchester United,0.0,1.0,1.0,0.0,61.0,63.0,2.0,31,DF,4500000
Chris Smalling,2016-2017,Manchester United,1.0,1.0,2.0,14.285714285714285,160.0,67.5,0.0,26,DF,16200000
Daley Blind,2016-2017,Manchester United,1.0,2.0,3.0,22.22222222222222,206.0,79.52173913043478,2.0,26,DF,19800000
Eric Bailly,2016-2017,Manchester United,0.0,0.0,0.0,16.666666666666664,262.0,82.4,4.0,22,DF,27000000
Henrikh Mkhitaryan,2016-2017,Manchester United,4.0,1.0,5.0,48.48484848484848,57.0,56.208333333333336,1.0,27,MF,38500000
Jesse Lingard,2016-2017,Manchester United,0.0,2.0,2.0,35.13513513513514,40.0,54.64,3.0,23,MF,44000000
Juan Mata,2016-2017,Manchester United,6.0,3.0,9.0,52.5,42.0,65.12,3.0,28,MF,33000000
Luke Shaw,2016-2017,Manchester United,0.0,1.0,1.0,16.666666666666664,53.0,62.90909090909091,1.0,21,DF,18000000
Marcos Rojo,2016-2017,Manchester United,1.0,0.0,1.0,28.57142857142857,211.0,79.04761904761905,5.0,26,DF,16200000
Marcus Rashford,2016-2017,Manchester United,5.0,1.0,6.0,38.63636363636363,34.0,53.15625,3.0,18,FW,16200000
Marouane Fellaini,2016-2017,Manchester United,1.0,0.0,1.0,30.434782608695656,142.0,57.10714285714285,12.0,28,MF,13200000
Matteo Darmian,2016-2017,Manchester United,0.0,0.0,0.0,0.0,154.0,74.05555555555556,3.0,26,DF,10800000
Michael Carrick,2016-2017,Manchester United,0.0,0.0,0.0,0.0,112.0,69.52173913043478,2.0,35,MF,15000000
Paul Pogba,2016-2017,Manchester United,5.0,4.0,9.0,34.78260869565217,132.0,86.93333333333334,7.0,23,MF,99000000
Phil Jones,2016-2017,Manchester United,0.0,0.0,0.0,0.0,215.0,88.05555555555556,2.0,24,DF,12600000
Wayne Rooney,2016-2017,Manchester United,5.0,5.0,10.0,36.53846153846153,51.0,61.56,8.0,30,FW,13500000
Zlatan Ibrahimovic,2016-2017,Manchester United,17.0,5.0,22.0,40.0,43.0,87.03571428571429,7.0,35,FW,9000000
Adam Clayton,2016-2017,Middlesbrough,0.0,2.0,2.0,18.181818181818183,206.0,82.52941176470588,10.0,27,MF,3300000
Adam Forshaw,2016-2017,Middlesbrough,0.0,1.0,1.0,21.428571428571427,124.0,79.41176470588235,4.0,24,MF,2700000
Adama Traoré,2016-2017,Middlesbrough,0.0,1.0,1.0,18.181818181818183,43.0,56.851851851851855,1.0,20,DF,7200000
Antonio Barragán,2016-2017,Middlesbrough,0.0,0.0,0.0,0.0,214.0,84.46153846153847,5.0,29,DF,3300000
Ben Gibson,2016-2017,Middlesbrough,1.0,1.0,2.0,40.0,353.0,90.0,4.0,23,DF,8800000
Bernardo Espinosa,2016-2017,Middlesbrough,0.0,0.0,0.0,50.0,114.0,88.63636363636364,2.0,27,DF,2750000
Calum Chambers,2016-2017,Middlesbrough,2.0,1.0,3.0,37.5,302.0,90.0,4.0,21,DF,12600000
Cristhian Stuani,2016-2017,Middlesbrough,4.0,0.0,4.0,47.61904761904761,63.0,59.17391304347826,4.0,29,FW,3150000
Daniel Ayala,2016-2017,Middlesbrough,1.0,0.0,1.0,50.0,112.0,65.5,3.0,25,DF,2200000
Gastón Ramírez,2016-2017,Middlesbrough,2.0,3.0,5.0,28.125,74.0,64.54166666666667,8.0,25,MF,2700000
George Friend,2016-2017,Middlesbrough,0.0,2.0,2.0,6.666666666666667,209.0,81.66666666666667,4.0,28,DF,1650000
Grant Leadbitter,2016-2017,Middlesbrough,1.0,0.0,1.0,23.07692307692308,31.0,54.38461538461539,1.0,30,MF,16500000
Marten de Roon,2016-2017,Middlesbrough,4.0,0.0,4.0,24.13793103448276,189.0,84.15151515151516,8.0,25,MF,1100000
Patrick Bamford,2016-2017,Middlesbrough,1.0,0.0,1.0,42.85714285714285,16.0,22.5,1.0,22,MF,82500000
Rudy Gestede,2016-2017,Middlesbrough,1.0,0.0,1.0,31.25,18.0,32.8125,3.0,27,FW,6300000
Stewart Downing,2016-2017,Middlesbrough,1.0,3.0,4.0,20.689655172413797,91.0,73.73333333333333,1.0,32,MF,3500000
Viktor Fischer,2016-2017,Middlesbrough,0.0,3.0,3.0,16.666666666666664,4.0,33.69230769230769,0.0,22,MF,5500000
Álvaro Negredo,2016-2017,Middlesbrough,9.0,4.0,13.0,33.33333333333333,96.0,79.91666666666667,5.0,30,FW,6750000
Charlie Austin,2016-2017,Southampton,6.0,1.0,7.0,45.94594594594595,32.0,62.6,1.0,27,FW,11700000
Cédric Soares,2016-2017,Southampton,0.0,3.0,3.0,30.0,199.0,84.0,7.0,24,DF,13500000
Dusan Tadic,2016-2017,Southampton,3.0,5.0,8.0,33.33333333333333,48.0,73.51515151515152,4.0,28,FW,15300000
Jack Stephens,2016-2017,Southampton,0.0,1.0,1.0,0.0,144.0,86.41176470588235,1.0,22,DF,3150000
James Ward-Prowse,2016-2017,Southampton,4.0,4.0,8.0,40.47619047619048,82.0,62.8,4.0,21,MF,19800000
Jay Rodriguez,2016-2017,Southampton,5.0,2.0,7.0,45.45454545454545,24.0,36.708333333333336,0.0,27,FW,9000000
Jordy Clasie,2016-2017,Southampton,1.0,1.0,2.0,33.33333333333333,43.0,64.125,3.0,25,MF,71500000
José Fonte,2016-2017,Southampton,0.0,0.0,0.0,17.647058823529413,327.0,86.21212121212122,4.0,32,DF,6300000
Manolo Gabbiadini,2016-2017,Southampton,4.0,0.0,4.0,37.93103448275862,15.0,66.45454545454545,1.0,24,FW,13500000
Maya Yoshida,2016-2017,Southampton,1.0,0.0,1.0,46.66666666666666,235.0,90.0,2.0,27,DF,4500000
Nathan Redmond,2016-2017,Southampton,7.0,1.0,8.0,33.734939759036145,66.0,78.56756756756756,2.0,22,MF,22000000
Oriol Romeu,2016-2017,Southampton,1.0,0.0,1.0,21.428571428571427,285.0,87.77142857142857,11.0,24,MF,13200000
Pierre-Emile Højbjerg,2016-2017,Southampton,0.0,0.0,0.0,14.285714285714285,107.0,59.04545454545455,2.0,21,MF,11000000
Ryan Bertrand,2016-2017,Southampton,2.0,4.0,6.0,31.57894736842105,138.0,89.57142857142857,3.0,26,DF,18000000
Sam McQueen,2016-2017,Southampton,0.0,0.0,0.0,0.0,60.0,46.76923076923077,0.0,21,MF,750000
Shane Long,2016-2017,Southampton,3.0,1.0,4.0,36.58536585365854,35.0,39.0,2.0,29,FW,8100000
Sofiane Boufal,2016-2017,Southampton,1.0,0.0,1.0,28.000000000000004,47.0,45.875,5.0,22,MF,16500000
Steven Davis,2016-2017,Southampton,0.0,3.0,3.0,19.35483870967742,133.0,82.625,3.0,31,MF,6600000
Virgil van Dijk,2016-2017,Southampton,1.0,0.0,1.0,29.411764705882355,250.0,88.28571428571429,3.0,25,DF,27000000
Bruno Martins Indi,2016-2017,Stoke City,0.0,0.0,0.0,38.88888888888889,349.0,89.91428571428571,5.0,24,DF,9900000
Charlie Adam,2016-2017,Stoke City,1.0,3.0,4.0,27.500000000000004,71.0,62.29166666666666,7.0,30,MF,3150000
Erik Pieters,2016-2017,Stoke City,0.0,1.0,1.0,0.0,290.0,87.52777777777777,4.0,27,DF,6300000
Geoff Cameron,2016-2017,Stoke City,0.0,1.0,1.0,45.45454545454545,141.0,85.6842105263158,1.0,31,MF,3600000
Giannelli Imbula,2016-2017,Stoke City,0.0,0.0,0.0,0.0,24.0,66.33333333333333,1.0,23,MF,2700000
Glen Johnson,2016-2017,Stoke City,0.0,0.0,0.0,50.0,163.0,85.0,1.0,31,DF,4500000
Glenn Whelan,2016-2017,Stoke City,0.0,1.0,1.0,16.666666666666664,150.0,75.9,5.0,32,MF,5000000
Ibrahim Afellay,2016-2017,Stoke City,0.0,0.0,0.0,16.666666666666664,8.0,31.416666666666668,0.0,30,MF,9900000
Joe Allen,2016-2017,Stoke City,6.0,2.0,8.0,45.0,188.0,81.55555555555556,9.0,26,MF,19800000
Jonathan Walters,2016-2017,Stoke City,4.0,2.0,6.0,48.0,43.0,56.34782608695652,1.0,32,MF,12100000
Mame Biram Diouf,2016-2017,Stoke City,1.0,2.0,3.0,20.0,93.0,51.18518518518518,3.0,28,FW,6300000
Marc Muniesa,2016-2017,Stoke City,0.0,0.0,0.0,50.0,80.0,64.8,2.0,24,DF,3000000
Peter Crouch,2016-2017,Stoke City,7.0,2.0,9.0,43.24324324324324,37.0,49.44444444444444,3.0,35,FW,1350000
Phil Bardsley,2016-2017,Stoke City,0.0,0.0,0.0,18.181818181818183,92.0,78.0,7.0,31,DF,1350000
Ramadan Sobhi,2016-2017,Stoke City,0.0,1.0,1.0,25.0,31.0,49.88235294117647,2.0,19,MF,5500000
Ryan Shawcross,2016-2017,Stoke City,1.0,1.0,2.0,35.0,363.0,90.0,6.0,28,DF,9900000
Saido Berahino,2016-2017,Stoke City,0.0,0.0,0.0,47.368421052631575,13.0,56.8235294117647,1.0,22,FW,13500000
Wilfried Bony,2016-2017,Stoke City,2.0,0.0,2.0,23.809523809523807,19.0,69.0,1.0,27,FW,16200000
Xherdan Shaqiri,2016-2017,Stoke City,4.0,2.0,6.0,20.833333333333336,22.0,81.28571428571429,2.0,24,MF,16500000
Adnan Januzaj,2016-2017,Sunderland,0.0,3.0,3.0,26.923076923076923,46.0,65.16,3.0,21,MF,7700000
Billy Jones,2016-2017,Sunderland,1.0,0.0,1.0,26.666666666666668,211.0,84.07407407407408,8.0,29,DF,1350000
Bryan Oviedo,2016-2017,Sunderland,0.0,0.0,0.0,33.33333333333333,83.0,66.0,3.0,26,DF,2250000
Darron Gibson,2016-2017,Sunderland,0.0,0.0,0.0,0.0,47.0,53.41666666666666,4.0,28,MF,33000000
Didier Ndong,2016-2017,Sunderland,0.0,0.0,0.0,31.25,176.0,81.25806451612904,5.0,22,MF,23400000
Donald Love,2016-2017,Sunderland,0.0,1.0,1.0,50.0,66.0,50.583333333333336,1.0,21,DF,1100000
Duncan Watmore,2016-2017,Sunderland,0.0,2.0,2.0,25.0,29.0,73.42857142857143,1.0,22,MF,15000000
Fabio Borini,2016-2017,Sunderland,2.0,0.0,2.0,42.42424242424242,72.0,72.5,5.0,25,FW,5400000
Jack Rodwell,2016-2017,Sunderland,0.0,1.0,1.0,26.31578947368421,116.0,74.65,4.0,25,DF,4500000
Jason Denayer,2016-2017,Sunderland,0.0,0.0,0.0,33.33333333333333,168.0,78.25,2.0,21,DF,6600000
Javier Manquillo,2016-2017,Sunderland,0.0,0.0,0.0,33.33333333333333,108.0,71.4,2.0,22,DF,4000000
Jermain Defoe,2016-2017,Sunderland,15.0,2.0,17.0,31.313131313131315,27.0,89.78378378378379,1.0,33,FW,4500000
John O'Shea,2016-2017,Sunderland,0.0,1.0,1.0,66.66666666666666,235.0,77.14285714285714,5.0,35,DF,900000
Lamine Koné,2016-2017,Sunderland,1.0,0.0,1.0,23.52941176470588,295.0,84.83333333333333,4.0,27,DF,6300000
Lynden Gooch,2016-2017,Sunderland,0.0,0.0,0.0,0.0,19.0,33.09090909090909,3.0,20,MF,4400000
Papy Djilobodji,2016-2017,Sunderland,0.0,0.0,0.0,25.0,264.0,87.61111111111111,7.0,27,DF,5500000
Patrick van Aanholt,2016-2017,Sunderland,5.0,1.0,6.0,38.23529411764706,175.0,78.0625,3.0,25,DF,8100000
Sebastian Larsson,2016-2017,Sunderland,0.0,1.0,1.0,18.75,91.0,70.04761904761905,4.0,31,DF,2750000
Steven Pienaar,2016-2017,Sunderland,0.0,0.0,0.0,50.0,47.0,53.86666666666667,5.0,34,MF,900000
Victor Anichebe,2016-2017,Sunderland,3.0,0.0,3.0,30.0,48.0,67.55555555555556,2.0,28,FW,1350000
Wahbi Khazri,2016-2017,Sunderland,1.0,0.0,1.0,43.47826086956522,20.0,39.90476190476191,6.0,25,MF,6300000
Alfie Mawson,2016-2017,Swansea City,4.0,0.0,4.0,22.727272727272727,255.0,90.0,1.0,22,DF,5400000
Angel Rangel,2016-2017,Swansea City,1.0,0.0,1.0,60.0,92.0,45.72222222222222,1.0,34,DF,1100000
Borja Bastón,2016-2017,Swansea City,1.0,0.0,1.0,20.0,15.0,30.38888888888889,0.0,23,FW,9000000
Federico Fernández,2016-2017,Swansea City,0.0,2.0,2.0,13.333333333333334,301.0,90.0,7.0,27,DF,8100000
Fernando Llorente,2016-2017,Swansea City,15.0,1.0,16.0,50.0,60.0,74.33333333333333,2.0,31,FW,5400000
Jack Cork,2016-2017,Swansea City,0.0,0.0,0.0,27.77777777777778,171.0,74.43333333333334,7.0,27,MF,16500000
Jay Fulton,2016-2017,Swansea City,0.0,0.0,0.0,0.0,57.0,62.90909090909091,2.0,22,MF,27500000
Jefferson Montero,2016-2017,Swansea City,0.0,1.0,1.0,25.0,9.0,28.846153846153847,0.0,26,FW,4000000
Jordan Ayew,2016-2017,Swansea City,1.0,3.0,4.0,50.0,26.0,61.642857142857146,1.0,24,FW,8250000
Jordi Amat,2016-2017,Swansea City,0.0,0.0,0.0,57.14285714285714,189.0,82.82352941176471,5.0,24,DF,2750000
Ki Sung-yueng,2016-2017,Swansea City,0.0,1.0,1.0,11.11111111111111,68.0,55.95652173913044,3.0,27,MF,7700000
Kyle Naughton,2016-2017,Swansea City,0.0,0.0,0.0,25.0,247.0,87.6774193548387,5.0,27,DF,4500000
Leon Britton,2016-2017,Swansea City,0.0,0.0,0.0,0.0,65.0,73.5,3.0,33,MF,8800000
Leroy Fer,2016-2017,Swansea City,6.0,2.0,8.0,30.55555555555556,134.0,70.67647058823529,9.0,26,MF,8800000
Luciano Narsingh,2016-2017,Swansea City,0.0,3.0,3.0,0.0,7.0,31.53846153846154,0.0,25,MF,11000000
Martin Olsson,2016-2017,Swansea City,2.0,0.0,2.0,44.44444444444444,73.0,83.53333333333333,2.0,28,DF,5500000
Modou Barrow,2016-2017,Swansea City,0.0,2.0,2.0,20.0,35.0,63.833333333333336,1.0,23,FW,2700000
Neil Taylor,2016-2017,Swansea City,0.0,0.0,0.0,0.0,70.0,83.81818181818181,1.0,27,DF,5500000
Stephen Kingsley,2016-2017,Swansea City,0.0,0.0,0.0,25.0,48.0,79.6923076923077,0.0,22,DF,825000
Tom Carroll,2016-2017,Swansea City,1.0,2.0,3.0,22.22222222222222,61.0,77.16666666666667,1.0,24,MF,6600000
Wayne Routledge,2016-2017,Swansea City,3.0,1.0,4.0,47.368421052631575,56.0,71.37037037037037,1.0,31,MF,2750000
Abdoulaye Doucoure,2016-2017,Watford,1.0,0.0,1.0,36.36363636363637,64.0,67.95,4.0,23,MF,6600000
Adlene Guedioura,2016-2017,Watford,0.0,1.0,1.0,20.0,42.0,46.8235294117647,2.0,31,MF,1100000
Christian Kabasele,2016-2017,Watford,2.0,0.0,2.0,42.85714285714285,74.0,47.9375,1.0,25,DF,4950000
Craig Cathcart,2016-2017,Watford,0.0,1.0,1.0,33.33333333333333,107.0,77.4,3.0,27,DF,3600000
Daryl Janmaat,2016-2017,Watford,2.0,1.0,3.0,30.76923076923077,103.0,59.81481481481482,2.0,27,DF,6300000
Etienne Capoue,2016-2017,Watford,7.0,1.0,8.0,38.0,152.0,86.8108108108108,5.0,28,MF,8800000
Isaac Success,2016-2017,Watford,1.0,1.0,2.0,50.0,34.0,26.57894736842105,2.0,20,FW,3600000
José Holebas,2016-2017,Watford,2.0,4.0,6.0,25.0,241.0,88.15151515151516,14.0,32,DF,1800000
Juan Camilo Zúñiga,2016-2017,Watford,1.0,0.0,1.0,16.666666666666664,59.0,38.71428571428572,0.0,31,DF,1650000
M'Baye Niang,2016-2017,Watford,2.0,2.0,4.0,40.625,32.0,78.375,2.0,21,FW,16500000
Miguel Britos,2016-2017,Watford,1.0,2.0,3.0,27.77777777777778,245.0,84.55555555555556,12.0,31,DF,3150000
Nordin Amrabat,2016-2017,Watford,0.0,3.0,3.0,20.689655172413797,83.0,72.44827586206897,4.0,29,MF,2250000
Odion Ighalo,2016-2017,Watford,1.0,1.0,2.0,27.027027027027028,17.0,71.72222222222223,1.0,27,FW,6300000
Roberto Pereyra,2016-2017,Watford,2.0,2.0,4.0,44.44444444444444,19.0,80.0,2.0,25,MF,16500000
Sebastian Prödl,2016-2017,Watford,1.0,1.0,2.0,31.818181818181817,303.0,83.96969696969697,10.0,29,MF,3600000
Stefano Okaka,2016-2017,Watford,4.0,0.0,4.0,44.44444444444444,23.0,50.21052631578947,5.0,26,FW,5400000
Tom Cleverley,2016-2017,Watford,0.0,2.0,2.0,40.0,100.0,68.25925925925925,4.0,26,MF,8800000
Troy Deeney,2016-2017,Watford,10.0,4.0,14.0,42.85714285714285,88.0,79.48648648648648,7.0,28,FW,9900000
Valon Behrami,2016-2017,Watford,0.0,0.0,0.0,0.0,140.0,75.4074074074074,7.0,31,MF,2750000
Younes Kaboul,2016-2017,Watford,2.0,0.0,2.0,33.33333333333333,235.0,83.26086956521739,2.0,30,MF,2750000
Allan-Romeo Nyom,2016-2017,West Bromwich Albion,0.0,2.0,2.0,16.666666666666664,241.0,82.40625,8.0,28,DF,4050000
Chris Brunt,2016-2017,West Bromwich Albion,3.0,4.0,7.0,28.947368421052637,127.0,79.93548387096774,5.0,31,MF,4400000
Claudio Yacob,2016-2017,West Bromwich Albion,0.0,0.0,0.0,0.0,224.0,73.24242424242425,9.0,29,MF,3850000
Craig Dawson,2016-2017,West Bromwich Albion,4.0,0.0,4.0,38.095238095238095,294.0,88.5945945945946,10.0,26,DF,7200000
Darren Fletcher,2016-2017,West Bromwich Albion,2.0,3.0,5.0,35.0,123.0,85.13157894736842,0.0,32,MF,1800000
Gareth McAuley,2016-2017,West Bromwich Albion,6.0,1.0,7.0,43.75,379.0,87.30555555555556,5.0,36,DF,900000
Hal Robson-Kanu,2016-2017,West Bromwich Albion,3.0,2.0,5.0,37.5,17.0,23.55172413793104,3.0,27,FW,2250000
James McClean,2016-2017,West Bromwich Albion,0.0,2.0,2.0,56.52173913043478,94.0,43.05882352941177,9.0,27,MF,2700000
James Morrison,2016-2017,West Bromwich Albion,5.0,2.0,7.0,34.78260869565217,64.0,56.064516129032256,3.0,30,MF,12100000
Jonny Evans,2016-2017,West Bromwich Albion,2.0,1.0,3.0,55.55555555555556,286.0,85.09677419354838,8.0,28,DF,6300000
Matt Phillips,2016-2017,West Bromwich Albion,4.0,8.0,12.0,21.27659574468085,69.0,81.22222222222223,2.0,25,MF,8100000
Nacer Chadli,2016-2017,West Bromwich Albion,5.0,5.0,10.0,38.297872340425535,64.0,69.25806451612904,2.0,26,MF,7200000
Salomón Rondón,2016-2017,West Bromwich Albion,8.0,2.0,10.0,27.659574468085108,68.0,76.1842105263158,2.0,26,FW,13500000
Aaron Cresswell,2016-2017,West Ham United,0.0,2.0,2.0,18.181818181818183,113.0,81.42307692307692,5.0,26,DF,13200000
André Ayew,2016-2017,West Ham United,6.0,3.0,9.0,38.23529411764706,37.0,57.6,1.0,26,FW,16200000
Andy Carroll,2016-2017,West Ham United,7.0,1.0,8.0,35.8974358974359,51.0,72.94444444444444,3.0,27,FW,9000000
Angelo Ogbonna,2016-2017,West Ham United,0.0,0.0,0.0,33.33333333333333,174.0,87.75,2.0,28,DF,8100000
Arthur Masuaku,2016-2017,West Ham United,0.0,1.0,1.0,0.0,94.0,74.6923076923077,1.0,22,DF,6300000
Ashley Fletcher,2016-2017,West Ham United,0.0,0.0,0.0,55.55555555555556,6.0,22.125,2.0,20,FW,3150000
Cheikhou Kouyaté,2016-2017,West Ham United,1.0,0.0,1.0,19.047619047619047,273.0,87.96774193548387,3.0,27,MF,13200000
Dimitri Payet,2016-2017,West Ham United,2.0,6.0,8.0,27.27272727272727,19.0,84.05555555555556,2.0,29,MF,31500000
Edimilson Fernandes,2016-2017,West Ham United,0.0,0.0,0.0,20.0,53.0,35.214285714285715,4.0,20,MF,5500000
Håvard Nordtveit,2016-2017,West Ham United,0.0,1.0,1.0,14.285714285714285,71.0,59.75,2.0,26,DF,5500000
James Collins,2016-2017,West Ham United,2.0,0.0,2.0,36.36363636363637,224.0,75.18181818181819,3.0,32,DF,2200000
Jonathan Calleri,2016-2017,West Ham United,1.0,0.0,1.0,18.75,12.0,33.5625,0.0,22,FW,7200000
Manuel Lanzini,2016-2017,West Ham United,8.0,2.0,10.0,30.434782608695656,100.0,77.45714285714286,9.0,23,MF,22000000
Mark Noble,2016-2017,West Ham United,3.0,0.0,3.0,28.000000000000004,103.0,79.93333333333334,10.0,29,MF,7700000
Marko Arnautovic,2016-2017,West Ham United,6.0,5.0,11.0,31.666666666666664,79.0,85.125,12.0,27,FW,13500000
Michail Antonio,2016-2017,West Ham United,9.0,3.0,12.0,29.87012987012987,99.0,84.10344827586206,7.0,26,FW,16200000
Pedro Obiang,2016-2017,West Ham United,1.0,1.0,2.0,22.22222222222222,130.0,80.27272727272727,7.0,24,MF,8000000
Sam Byram,2016-2017,West Ham United,0.0,1.0,1.0,0.0,129.0,69.27777777777777,8.0,22,MF,4950000
Sofiane Feghouli,2016-2017,West Ham United,3.0,3.0,6.0,35.0,41.0,49.42857142857143,4.0,26,MF,13200000
Winston Reid,2016-2017,West Ham United,2.0,2.0,4.0,18.181818181818183,381.0,86.3,8.0,28,DF,9000000
Aaron Ramsey,2017-2018,Arsenal,6.0,8.0,14.0,44.69263759828449,79.0,76.91666666666667,0.0,26,MF,25500000
Ainsley Maitland-Niles,2017-2018,Arsenal,0.0,0.0,0.0,0.0,87.0,60.93333333333333,1.0,19,"DF,MF",1000000
Alex Iwobi,2017-2018,Arsenal,3.0,5.0,8.0,48.86312973695943,55.0,70.38461538461539,1.0,21,"MF,FW",9500000
Alexandre Lacazette,2017-2018,Arsenal,13.0,3.0,16.0,48.52607709750566,55.0,68.8125,1.0,26,FW,48500000
Alexis Sanchez,2017-2018,Arsenal,11.0,5.0,16.0,35.3794061469005,54.22,82.12903225806451,6.78,28,"MF,FW",67500000
Calum Chambers,2017-2018,Arsenal,0.0,0.0,0.0,29.859719438877757,96.0,72.16666666666667,1.0,22,DF,9000000
Danny Welbeck,2017-2018,Arsenal,5.0,2.0,7.0,40.655226209048365,66.0,42.642857142857146,1.0,26,"FW,MF",17500000
David Ospina,2017-2018,Arsenal,0.0,0.0,0.0,0.0,1.0,76.2,0.0,28,GK,9000000
Granit Xhaka,2017-2018,Arsenal,1.0,6.0,7.0,25.81967213114755,213.0,85.78947368421052,10.0,24,MF,27500000
Hector Bellerin,2017-2018,Arsenal,2.0,3.0,5.0,27.9245283018868,211.0,87.17142857142858,5.0,22,DF,21000000
Jack Wilshere,2017-2018,Arsenal,1.0,3.0,4.0,33.59946773120426,38.0,59.65,6.0,25,MF,22000000
Laurent Koscielny,2017-2018,Arsenal,1.0,0.0,1.0,22.272215973003373,263.0,89.0,4.0,31,DF,21000000
Mesut Ozil,2017-2018,Arsenal,4.0,7.0,11.0,33.33333333333333,52.0,83.1923076923077,4.0,28,"MF,FW",60000000
Mohamed Elneny,2017-2018,Arsenal,0.0,0.0,0.0,12.04516938519448,45.0,66.6923076923077,6.0,25,MF,10000000
Nacho Monreal,2017-2018,Arsenal,4.0,1.0,5.0,36.37608397991784,219.0,80.10714285714286,3.0,31,DF,9500000
Per Mertesacker,2017-2018,Arsenal,1.0,0.0,1.0,100.0,34.0,61.0,0.0,32,DF,10000000
Petr Cech,2017-2018,Arsenal,0.0,0.0,0.0,0.0,24.0,89.38235294117646,1.0,35,GK,10500000
Rob Holding,2017-2018,Arsenal,0.0,0.0,0.0,0.0,96.0,68.5,3.0,21,DF,5500000
Sead Kolasinac,2017-2018,Arsenal,1.0,4.0,5.0,28.43556823585354,146.0,79.51851851851852,3.0,24,DF,15500000
Shkodran Mustafi,2017-2018,Arsenal,3.0,1.0,4.0,39.22480620155039,319.0,84.18518518518519,6.0,25,DF,31500000
Adam Smith,2017-2018,Bournemouth,0.0,2.0,2.0,23.214285714285715,200.0,76.70370370370371,6.0,26,"DF,MF",4100000
Andrew Surman,2017-2018,Bournemouth,2.0,4.0,6.0,33.31473214285714,117.0,74.24,2.0,30,MF,6000000
Asmir Begovic,2017-2018,Bournemouth,0.0,0.0,0.0,0.0,18.0,90.0,2.0,30,GK,14000000
